primary,synonyms,description,
SKCG1,,,
SKI,SGS+AHw-SKV,SKI proto+AC0-oncogene,
SKI2W,,,
SKIDA1,C10orf140+AHw-DLN+AC0-1+AHw-FLJ45187+AHw-C10orf140+AHw-C10orf140+AHw-DLN1,SKI/DACH domain containing 1,
SKIL,SNO+AHw-SnoA+AHw-SnoI+AHw-SnoN+AHw-SNO+AHw-SnoN+AHw-SnoA+AHw-SNO,SKI like proto+AC0-oncogene,
SKINT1L,BTN12+AHw-SKINT1+AHw-SKINTL+AHw-SKINTP,Skint1 like (pseudogene),
SKIV2L,170A+AHw-DDX13+AHw-HLP+AHw-SKI2+AHw-SKI2W+AHw-SKIV2+AHw-SKIV2L1+AHw-THES2+AHw-HLP+AHw-DDX13+AHw-SKI2W+AHw-170A+AHw-SKIV2L1+AHw-SKIV2+AHw-DDX13+AHw-SKI2W+AHw-SKIV2+AHw-W,Ski2 like RNA helicase,
SKIV2L2,,,
SKOR1,CORL1+AHw-FUSSEL15+AHw-LBXCOR1+AHw-CORL1+AHw-FUSSEL15+AHw-LBXCOR1+AHw-CORL1+AHw-FUSSEL15+AHw-LBXCOR1,SKI family transcriptional corepressor 1,
SKOR2,CH18515+AHw-CORL2+AHw-FUSSEL18+AHw-CORL2+AHw-FUSSEL18+AHw-Fussel+AC0-18+AHw-CORL2+AHw-FUSSEL18,SKI family transcriptional corepressor 2,
SKP1,EMC19+AHw-OCP+AC0-II+AHw-OCP2+AHw-SKP1A+AHw-TCEB1L+AHw-p19A+AHw-EMC19+AHw-OCP2+AHw-TCEB1L+AHw-MGC34403+AHw-OCP+AC0-II+AHw-p19A+AHw-SKP1A+AHw-EMC19+AHw-OCP2+AHw-SKP1A+AHw-TCEB1L,S+AC0-phase kinase associated protein 1,
SKP1P1,EMC19+AHw-OCP2+AHw-TCEB1L+AHw-TCEB1P+AHw-TCEB1P1,S+AC0-phase kinase associated protein 1 pseudogene 1,
SKP1P2,SKP1B+AHw-p19B,S+AC0-phase kinase associated protein 1 pseudogene 2,
SKP1P3,,,
SKP2,FBL1+AHw-FBXL1+AHw-FLB1+AHw-p45+AHw-FBXL1+AHw-FBL1+AHw-p45+AHw-FBXL1,S+AC0-phase kinase associated protein 2,
SLA,SLA1+AHw-SLAP+AHw-SLA1+AHw-SLAP+AC0-1+AHw-hSLAP+AHw-SLAP+AHw-SLAP+AHw-SLAP1,Src like adaptor,
SLA2,C20orf156+AHw-MARS+AHw-SLAP+AC0-2+AHw-SLAP2+AHw-FLJ21992+AHw-SLAP+AC0-2+AHw-C20orf156+AHw-C20orf156+AHw-SLAP2,Src like adaptor 2,
SLAIN1,C13orf32+AHw-FLJ30046+AHw-C13orf32+AHw-C13orf32,SLAIN motif family member 1,
SLAIN2,KIAA1458+AHw-FLJ21611+AHw-KIAA1458+AHw-KIAA1458,SLAIN motif family member 2,
SLAM,,,
SLAMF1,CD150+AHw-CDw150+AHw-SLAM+AHw-CD150+AHw-SLAM+AHw-SLAM,signaling lymphocytic activation molecule family member 1,
SLAMF6,CD352+AHw-KALI+AHw-KALIb+AHw-Ly108+AHw-NTB+AC0-A+AHw-NTBA+AHw-SF2000+AHw-KALI+AHw-NTBA+AHw-KALIb+AHw-Ly108+AHw-SF2000+AHw-NTB+AC0-A+AHw-CD352+AHw-KALI,SLAM family member 6,
SLAMF6P1,,,
SLAMF7,19A+AHw-CD319+AHw-CRACC+AHw-CS1+AHw-CRACC+AHw-19A+AHw-CS1+AHw-CD319+AHw-CS1,SLAM family member 7,
SLAMF8,BLAME+AHw-CD353+AHw-SBBI42+AHw-BLAME+AHw-SBBI42+AHw-CD353+AHw-BLAME,SLAM family member 8,
SLAMF9,CD2F+AC0-10+AHw-CD2F10+AHw-CD84+AC0-H1+AHw-CD84H1+AHw-SF2001+AHw-CD2F+AC0-10+AHw-CD84+AC0-H1+AHw-SF2001+AHw-CD2F10,SLAM family member 9,
SLBP,HBP+AHw-HBP+AHw-HBP,stem+AC0-loop binding protein,
SLC10A1,NTCP+AHw-NTCP+AHw-NTCP,solute carrier family 10 member 1,
SLC10A2,ASBT+AHw-IBAT+AHw-ISBT+AHw-NTCP2+AHw-PBAM+AHw-ASBT+AHw-ISBT+AHw-ASBT+AHw-ISBT+AHw-NTCP2,solute carrier family 10 member 2,
SLC10A3,DXS253E+AHw-P3+AHw-P3+AHw-DXS253E+AHw-DXS253E+AHw-P3,solute carrier family 10 member 3,
SLC10A4,P4+AHw-MGC29802,solute carrier family 10 member 4,
SLC10A5,P5,solute carrier family 10 member 5,
SLC10A5P1,,,
SLC10A6,SOAT+AHw-SOAT+AHw-SOAT,solute carrier family 10 member 6,
SLC10A7,C4orf13+AHw-P7+AHw-MGC25043+AHw-DKFZp566M114+AHw-DKFZp313H0531+AHw-DKFZp779O2438+AHw-C4orf13+AHw-C4orf13+AHw-P7,solute carrier family 10 member 7,
SLC11A1,LSH+AHw-NRAMP+AHw-NRAMP1+AHw-LSH+AHw-NRAMP+AHw-NRAMP1+AHw-LSH+AHw-NRAMP+AHw-NRAMP1,solute carrier family 11 member 1,
SLC11A2,AHMIO1+AHw-DCT1+AHw-DMT1+AHw-NRAMP2+AHw-DCT1+AHw-DMT1+AHw-NRAMP2+AHw-DCT1+AHw-DMT1+AHw-NRAMP2,solute carrier family 11 member 2,
SLC12A1,BSC1+AHw-NKCC2+AHw-NKCC2+AHw-NKCC2,solute carrier family 12 member 1,
SLC12A2,BSC+AHw-BSC2+AHw-NKCC1+AHw-PPP1R141+AHw-NKCC1+AHw-BSC+AHw-BSC2+AHw-PPP1R141+AHw-NKCC1,solute carrier family 12 member 2,
SLC12A3,NCC+AHw-NCCT+AHw-TSC+AHw-NCCT+AHw-NCC+AHw-TSC,solute carrier family 12 member 3,
SLC12A4,CTC+AC0-479C5.17+AHw-KCC1+AHw-hKCC1+AHw-KCC1+AHw-KCC1,solute carrier family 12 member 4,
SLC12A5,EIEE34+AHw-EIG14+AHw-KCC2+AHw-hKCC2+AHw-KIAA1176+AHw-KCC2+AHw-KCC2+AHw-KIAA1176,solute carrier family 12 member 5,
SLC12A5+AC0-AS1,,,
SLC12A6,ACCPN+AHw-KCC3+AHw-KCC3A+AHw-KCC3B+AHw-KCC3+AHw-ACCPN+AHw-KCC3,solute carrier family 12 member 6,
SLC12A7,KCC4+AHw-KCC4+AHw-DKFZP434F076+AHw-KCC4,solute carrier family 12 member 7,
SLC12A8,CCC9+AHw-CCC9+AHw-CCC9,solute carrier family 12 member 8,
SLC12A9,CCC6+AHw-CIP1+AHw-WO3.3+AHw-hCCC6+AHw-CIP1+AHw-CCC6+AHw-CIP1,solute carrier family 12 member 9,
SLC12A9+AC0-AS1,,,
SLC13A1,NAS1+AHw-NaSi+AC0-1+AHw-NaSi+AC0-1+AHw-NAS1+AHw-NAS1+AHw-NASI1,solute carrier family 13 member 1,
SLC13A2,NADC1+AHw-NaCT+AHw-NaDC+AC0-1+AHw-SDCT1+AHw-NaDC+AC0-1+AHw-NADC1+AHw-SDCT1,solute carrier family 13 member 2,
SLC13A3,NADC3+AHw-SDCT2+AHw-NADC3+AHw-SDCT2+AHw-NADC3+AHw-SDCT2,solute carrier family 13 member 3,
SLC13A4,NAS2+AHw-SUT+AC0-1+AHw-SUT1+AHw-SUT+AC0-1+AHw-SUT1+AHw-SUT1,solute carrier family 13 member 4,
SLC13A5,EIEE25+AHw-INDY+AHw-NACT+AHw-mIndy+AHw-NACT+AHw-INDY+AHw-NACT,solute carrier family 13 member 5,
SLC14A1,HUT11+AHw-HsT1341+AHw-JK+AHw-RACH1+AHw-RACH2+AHw-UT+AC0-B1+AHw-UT1+AHw-UTE+AHw-HsT1341+AHw-RACH1+AHw-RACH2+AHw-JK+AHw-HUT11+AHw-JK+AHw-RACH1+AHw-UT1+AHw-UTE,solute carrier family 14 member 1 (Kidd blood group),
SLC14A1 JK,,,
SLC14A2,HUT2+AHw-UT+AC0-A2+AHw-UT2+AHw-UTA+AHw-UTR+AHw-hUT+AC0-A6+AHw-HUT2+AHw-UT2+AHw-HUT2+AHw-UT2,solute carrier family 14 member 2,
SLC14A2+AC0-AS1,,,
SLC15A1,HPECT1+AHw-HPEPT1+AHw-PEPT1+AHw-PEPT1+AHw-HPECT1+AHw-HPEPT1+AHw-PEPT1,solute carrier family 15 member 1,
SLC15A2,PEPT2+AHw-PEPT2+AHw-PEPT2,solute carrier family 15 member 2,
SLC15A3,OCTP+AHw-PHT2+AHw-PTR3+AHw-PHT2+AHw-hPTR3+AHw-OCTP+AHw-PHT2+AHw-PTR3,solute carrier family 15 member 3,
SLC15A4,FP12591+AHw-PHT1+AHw-PTR4+AHw-PHT1+AHw-PTR4+AHw-PHT1+AHw-PTR4,solute carrier family 15 member 4,
SLC15A5,,,
SLC16A1,HHF7+AHw-MCT+AHw-MCT1+AHw-MCT1D+AHw-MCT+AHw-MCT1+AHw-MCT1,solute carrier family 16 member 1,
SLC16A1+AC0-AS1,,,
SLC16A10,MCT10+AHw-PRO0813+AHw-TAT1+AHw-TAT1+AHw-MCT10+AHw-MCT10+AHw-TAT1,solute carrier family 16 member 10,
SLC16A11,MCT11+AHw-FLJ90193+AHw-MCT11+AHw-MCT11,solute carrier family 16 member 11,
SLC16A12,CJMG+AHw-CRT2+AHw-CTRCT47+AHw-MCT12+AHw-MCT12+AHw-MCT12,solute carrier family 16 member 12,
SLC16A12+AC0-AS1,,,
SLC16A13,MCT13+AHw-MCT13+AHw-MCT13,solute carrier family 16 member 13,
SLC16A14,MCT14+AHw-FLJ30794+AHw-MCT14+AHw-MCT14,solute carrier family 16 member 14,
SLC16A14P1,,,
SLC16A1P1,,,
SLC16A2,AHDS+AHw-DXS128+AHw-DXS128E+AHw-MCT 7+AHw-MCT 8+AHw-MCT7+AHw-MCT8+AHw-MRX22+AHw-XPCT+AHw-XPCT+AHw-MCT8+AHw-MCT7+AHw-DXS128+AHw-AHDS+AHw-MRX22+AHw-MCT8+AHw-XPCT,solute carrier family 16 member 2,
SLC16A3,MCT 3+AHw-MCT 4+AHw-MCT+AC0-3+AHw-MCT+AC0-4+AHw-MCT3+AHw-MCT4+AHw-MCT3+AHw-MCT4+AHw-MCT4,solute carrier family 16 member 3,
SLC16A4,MCT4+AHw-MCT5+AHw-MCT4+AHw-MCT5+AHw-MCT4+AHw-MCT5,solute carrier family 16 member 4,
SLC16A5,MCT5+AHw-MCT6+AHw-MCT5+AHw-MCT6+AHw-MCT5+AHw-MCT6,solute carrier family 16 member 5,
SLC16A6,MCT6+AHw-MCT7+AHw-MCT6+AHw-MCT7+AHw-MCT6+AHw-MCT7,solute carrier family 16 member 6,
SLC16A6P1,,,
SLC16A7,MCT2+AHw-MCT2+AHw-MCT2,solute carrier family 16 member 7,
SLC16A8,MCT3+AHw-REMP+AHw-MCT3+AHw-REMP+AHw-MCT3,solute carrier family 16 member 8,
SLC16A9,C10orf36+AHw-MCT9+AHw-FLJ43803+AHw-MCT9+AHw-C10orf36+AHw-C10orf36+AHw-MCT9,solute carrier family 16 member 9,
SLC17A1,NAPI+AC0-1+AHw-NPT+AC0-1+AHw-NPT1+AHw-NAPI+AC0-1+AHw-NPT1+AHw-NPT1,solute carrier family 17 member 1,
SLC17A2,NPT3+AHw-NPT3+AHw-NPT3,solute carrier family 17 member 2,
SLC17A3,GOUT4+AHw-NPT4+AHw-UAQTL4+AHw-NPT4+AHw-NPT4,solute carrier family 17 member 3,
SLC17A4,KAIA2138+AHw-KIAA2138,solute carrier family 17 member 4,
SLC17A5,AST+AHw-ISSD+AHw-NSD+AHw-SD+AHw-SIALIN+AHw-SIASD+AHw-SLD+AHw-AST+AHw-SD+AHw-ISSD+AHw-NSD+AHw-SIALIN+AHw-SLD+AHw-SIASD,solute carrier family 17 member 5,
SLC17A6,DNPI+AHw-VGLUT2+AHw-DNPI+AHw-VGLUT2+AHw-DNPI+AHw-VGLUT2,solute carrier family 17 member 6,
SLC17A7,BNPI+AHw-VGLUT1+AHw-BNPI+AHw-VGLUT1+AHw-BNPI+AHw-VGLUT1,solute carrier family 17 member 7,
SLC17A8,DFNA25+AHw-VGLUT3+AHw-VGLUT3+AHw-DFNA25+AHw-VGLUT3,solute carrier family 17 member 8,
SLC17A9,C20orf59+AHw-POROK8+AHw-VNUT+AHw-FLJ23412+AHw-VNUT+AHw-C20orf59+AHw-C20orf59,solute carrier family 17 member 9,
SLC18A1,CGAT+AHw-VAT1+AHw-VMAT1+AHw-CGAT+AHw-VMAT1+AHw-VAT1+AHw-VAT1+AHw-VMAT1,solute carrier family 18 member A1,
SLC18A2,SVAT+AHw-SVMT+AHw-VAT2+AHw-VMAT2+AHw-SVMT+AHw-SVAT+AHw-VMAT2+AHw-SVMT+AHw-VMAT2,solute carrier family 18 member A2,
SLC18A3,CMS21+AHw-VACHT+AHw-VACHT+AHw-VACHT,solute carrier family 18 member A3,
SLC18B1,C6orf192+AHw-dJ55C23.6+AHw-dJ55C23.6+AHw-C6orf192+AHw-C6orf192,solute carrier family 18 member B1,
SLC19A1,CHMD+AHw-FOLT+AHw-IFC+AC0-1+AHw-IFC1+AHw-REFC+AHw-RFC+AHw-RFC1+AHw-FOLT+AHw-RFC1+AHw-FLOT1+AHw-RFC1,solute carrier family 19 member 1,
SLC19A2,TC1+AHw-THMD1+AHw-THT1+AHw-THTR1+AHw-TRMA+AHw-THTR1+AHw-TRMA+AHw-THT1+AHw-TRMA,solute carrier family 19 member 2,
SLC19A3,BBGD+AHw-THMD2+AHw-THTR2+AHw-THTR2,solute carrier family 19 member 3,
SLC1A1,DCBXA+AHw-EAAC1+AHw-EAAT3+AHw-SCZD18+AHw-EAAC1+AHw-EAAT3+AHw-EAAC1+AHw-EAAT3,solute carrier family 1 member 1,
SLC1A2,EAAT2+AHw-EIEE41+AHw-GLT+AC0-1+AHw-HBGT+AHw-GLT+AC0-1+AHw-EAAT2+AHw-EAAT2+AHw-GLT1,solute carrier family 1 member 2,
SLC1A3,EA6+AHw-EAAT1+AHw-GLAST+AHw-GLAST1+AHw-EAAT1+AHw-GLAST+AHw-EA6+AHw-EAAT1+AHw-GLAST+AHw-GLAST1,solute carrier family 1 member 3,
SLC1A4,ASCT1+AHw-SATT+AHw-SPATCCM+AHw-SATT+AHw-ASCT1+AHw-ASCT1+AHw-SATT,solute carrier family 1 member 4,
SLC1A5,AAAT+AHw-ASCT2+AHw-ATBO+AHw-M7V1+AHw-M7VS1+AHw-R16+AHw-RDRC+AHw-AAAT+AHw-ASCT2+AHw-RDRC+AHw-M7V1+AHw-ASCT2+AHw-M7V1+AHw-RDR+AHw-RDRC,solute carrier family 1 member 5,
SLC1A6,EAAT4+AHw-EAAT4+AHw-EAAT4,solute carrier family 1 member 6,
SLC1A7,AAAT+AHw-EAAT5+AHw-EAAT5+AHw-EAAT5,solute carrier family 1 member 7,
SLC20A1,GLVR1+AHw-Glvr+AC0-1+AHw-PIT1+AHw-PiT+AC0-1+AHw-PiT+AC0-1+AHw-Glvr+AC0-1+AHw-GLVR1+AHw-GLVR1+AHw-PIT1,solute carrier family 20 member 1,
SLC20A1P1,,,
SLC20A1P2,,,
SLC20A1P3,,,
SLC20A2,GLVR+AC0-2+AHw-GLVR2+AHw-IBGC1+AHw-IBGC3+AHw-MLVAR+AHw-PIT+AC0-2+AHw-PIT2+AHw-RAM1+AHw-Ram+AC0-1+AHw-PiT+AC0-2+AHw-Glvr+AC0-2+AHw-Ram+AC0-1+AHw-MLVAR+AHw-GLVR2+AHw-GLVR2+AHw-PIT2,solute carrier family 20 member 2,
SLC21A2,,,
SLC21A8,,,
SLC22A1,HOCT1+AHw-OCT1+AHw-oct1+AF8-cds+AHw-OCT1+AHw-OCT1,solute carrier family 22 member 1,
SLC22A10,OAT5+AHw-hOAT5+AHw-OAT5+AHw-hOAT5+AHw-OAT5,solute carrier family 22 member 10,
SLC22A11,OAT4+AHw-hOAT4+AHw-OAT4+AHw-OAT4,solute carrier family 22 member 11,
SLC22A12,OAT4L+AHw-RST+AHw-URAT1+AHw-OAT4L+AHw-RST+AHw-URAT1+AHw-OATL4+AHw-URAT1,solute carrier family 22 member 12,
SLC22A13,OAT10+AHw-OCTL1+AHw-OCTL3+AHw-ORCTL+AC0-3+AHw-ORCTL3+AHw-OCTL1+AHw-OCTL3+AHw-OAT10+AHw-ORCTL3+AHw-OCTL1+AHw-ORCTL3,solute carrier family 22 member 13,
SLC22A14,OCTL2+AHw-OCTL4+AHw-ORCTL4+AHw-OCTL2+AHw-ORCTL4+AHw-OCTL2+AHw-ORCTL4,solute carrier family 22 member 14,
SLC22A15,FLIPT1+AHw-PRO34686+AHw-FLIPT1+AHw-FLIPT1,solute carrier family 22 member 15,
SLC22A16,CT2+AHw-FLIPT2+AHw-HEL+AC0-S+AC0-18+AHw-OAT6+AHw-OCT6+AHw-OKB1+AHw-dJ261K5.1+AHw-FLIPT2+AHw-CT2+AHw-OKB1+AHw-OAT6+AHw-OCT6,solute carrier family 22 member 16,
SLC22A17,24p3R+AHw-BOCT+AHw-BOIT+AHw-NGALR+AHw-NGALR2+AHw-NGALR3+AHw-hBOIT+AHw-BOCT+AHw-BOIT+AHw-NGALR+AHw-BOCT+AHw-BOIT,solute carrier family 22 member 17,
SLC22A18,BWR1A+AHw-BWSCR1A+AHw-HET+AHw-IMPT1+AHw-ITM+AHw-ORCTL2+AHw-SLC22A1L+AHw-TSSC5+AHw-p45+AC0-BWR1A+AHw-BWR1A+AHw-TSSC5+AHw-ITM+AHw-ORCTL2+AHw-BWSCR1A+AHw-IMPT1+AHw-SLC22A1L+AHw-BWR1A+AHw-BWSCR1A+AHw-HET+AHw-IMPT1+AHw-ITM+AHw-ORCTL2+AHw-SLC22A1L+AHw-TSSC5,solute carrier family 22 member 18,
SLC22A18AS,BWR1B+AHw-BWSCR1B+AHw-ORCTL2S+AHw-SLC22A1LS+AHw-p27+AC0-BWR1B+AHw-BWR1B+AHw-p27+AC0-BWR1B+AHw-BWSCR1B+AHw-ORCTL2S+AHw-SLC22A1LS+AHw-BWR1B+AHw-BWSCR1B+AHw-ORCTL2S+AHw-SLC22A1LS,solute carrier family 22 member 18 antisense,
SLC22A2,OCT2+AHw-OCT2+AHw-OCT2,solute carrier family 22 member 2,
SLC22A20P,Oat6+AHw-SLC22A20+AHw-OAT6+AHw-SLC22A20,solute carrier family 22 member 20+AHw- pseudogene,
SLC22A23,C6orf85+AHw-FLJ22174+AHw-C6orf85+AHw-C6orf85,solute carrier family 22 member 23,
SLC22A24,NET46+AHw-MGC34821+AHw-NET46,solute carrier family 22 member 24,
SLC22A25,HIMTP+AHw-UST6+AHw-UST6+AHw-HIMTP+AHw-MGC120420+AHw-UST6,solute carrier family 22 member 25,
SLC22A3,EMT+AHw-EMTH+AHw-OCT3+AHw-OCT3+AHw-EMT+AHw-EMTH+AHw-OCT3,solute carrier family 22 member 3,
SLC22A31,,,
SLC22A4,DFNB60+AHw-OCTN1+AHw-OCTN1+AHw-MGC34546+AHw-DFNB60+AHw-ETT+AHw-OCTN1+AHw-UT2H,solute carrier family 22 member 4,
SLC22A5,CDSP+AHw-OCTN2+AHw-OCTN2+AHw-SCD+AHw-CDSP+AHw-OCTN2,solute carrier family 22 member 5,
SLC22A6,HOAT1+AHw-OAT1+AHw-PAHT+AHw-ROAT1+AHw-ROAT1+AHw-PAHT+AHw-OAT1+AHw-OAT1+AHw-PAHT,solute carrier family 22 member 6,
SLC22A7,NLT+AHw-OAT2+AHw-hOAT11+AHw-NLT+AHw-OAT2+AHw-NLT+AHw-OAT2,solute carrier family 22 member 7,
SLC22A8,OAT3+AHw-OAT3+AHw-OAT3,solute carrier family 22 member 8,
SLC22A9,HOAT4+AHw-OAT4+AHw-OAT7+AHw-UST3H+AHw-ust3+AHw-OAT4+AHw-FLJ23666+AHw-UST3+AHw-OAT7+AHw-hOAT4+AHw-OAT7+AHw-UST3,solute carrier family 22 member 9,
SLC23A1,SLC23A2+AHw-SVCT1+AHw-YSPL3+AHw-YSPL3+AHw-SVCT1+AHw-SLC23A2+AHw-SVCT1+AHw-YSPL3,solute carrier family 23 member 1,
SLC23A2,NBTL1+AHw-SLC23A1+AHw-SVCT2+AHw-YSPL2+AHw-SVCT2+AHw-KIAA0238+AHw-YSPL2+AHw-SLC23A1+AHw-KIAA0238+AHw-NBTL1+AHw-SLC23A1+AHw-SVCT2+AHw-YSPL2,solute carrier family 23 member 2,
SLC23A3,E2BP3+AHw-SVCT3+AHw-Yspl1+AHw-SVCT3+AHw-FLJ31168+AHw-Yspl1+AHw-E2BP3+AHw-SVCT3,solute carrier family 23 member 3,
SLC23A4P,SLC23A4,solute carrier family 23 member 4+AHw- pseudogene,
SLC24A1,CSNB1D+AHw-HsT17412+AHw-NCKX+AHw-NCKX1+AHw-RODX+AHw-NCKX1+AHw-NCKX+AHw-RODX+AHw-KIAA0702+AHw-HsT17412+AHw-CSNB1D+AHw-KIAA0702+AHw-NCKX1,solute carrier family 24 member 1,
SLC24A2,NCKX2+AHw-NCKX2+AHw-NCKX2,solute carrier family 24 member 2,
SLC24A3,NCKX3+AHw-NCKX3,solute carrier family 24 member 3,
SLC24A4,AI2A5+AHw-NCKX4+AHw-SHEP6+AHw-SLC24A2+AHw-NCKX4+AHw-NCKX4,solute carrier family 24 member 4,
SLC24A5,JSX+AHw-NCKX5+AHw-OCA6+AHw-SHEP4+AHw-JSX+AHw-OCA6+AHw-JSX+AHw-NCKX5,solute carrier family 24 member 5,
SLC25A1,CTP+AHw-D2L2AD+AHw-SEA+AHw-SLC20A3+AHw-CTP+AHw-SLC20A3+AHw-SLC20A3,solute carrier family 25 member 1,
SLC25A10,DIC+AHw-DIC+AHw-DIC,solute carrier family 25 member 10,
SLC25A11,OGC+AHw-SLC20A4+AHw-OGC+AHw-SLC20A4+AHw-SLC20A4,solute carrier family 25 member 11,
SLC25A12,AGC1+AHw-ARALAR+AHw-EIEE39+AHw-Aralar+AHw-ARALAR1,solute carrier family 25 member 12,
SLC25A13,ARALAR2+AHw-CITRIN+AHw-CTLN2+AHw-CITRIN+AHw-ARALAR2+AHw-CTLN2+AHw-ARALAR2,solute carrier family 25 member 13,
SLC25A14,BMCP1+AHw-UCP5+AHw-BMCP1+AHw-UCP5+AHw-BMCP1+AHw-UCP5,solute carrier family 25 member 14,
SLC25A14P1,,,
SLC25A15,D13S327+AHw-HHH+AHw-ORC1+AHw-ORNT1+AHw-ORC1+AHw-D13S327+AHw-ORNT1+AHw-HHH+AHw-ORC1+AHw-ORNT1,solute carrier family 25 member 15,
SLC25A15P1,SLC25A15P+AHw-SLC25A15PY1,solute carrier family 25 member 15 pseudogene 1,
SLC25A15P2,,,
SLC25A15P3,,,
SLC25A15P4,,,
SLC25A15P5,,,
SLC25A16,D10S105E+AHw-GDA+AHw-GDC+AHw-HGT.1+AHw-ML7+AHw-hML7+AHw-GDA+AHw-D10S105E+AHw-HGT.1+AHw-ML7+AHw-GDA,solute carrier family 25 member 16,
SLC25A17,PMP34+AHw-PMP34+AHw-PMP34,solute carrier family 25 member 17,
SLC25A18,GC2+AHw-GC2,solute carrier family 25 member 18,
SLC25A18P1,,,
SLC25A19,DNC+AHw-MCPHA+AHw-MUP1+AHw-THMD3+AHw-THMD4+AHw-TPC+AHw-DNC+AHw-MUP1+AHw-TPC+AHw-MCPHA+AHw-DNC+AHw-MUP1,solute carrier family 25 member 19,
SLC25A1P1,,,
SLC25A1P2,,,
SLC25A1P3,,,
SLC25A1P4,,,
SLC25A1P5,,,
SLC25A2,ORC2+AHw-ORNT2+AHw-ORNT2+AHw-ORNT2,solute carrier family 25 member 2,
SLC25A20,CAC+AHw-CACT+AHw-CAC+AHw-CACT+AHw-CAC+AHw-CACT,solute carrier family 25 member 20,
SLC25A20P1,CACTP+AHw-SLC25A20P,solute carrier family 25 member 20 pseudogene 1,
SLC25A21,ODC+AHw-ODC1+AHw-ODC1+AHw-ODC+AHw-ODC,solute carrier family 25 member 21,
SLC25A21+AC0-AS1,,,
SLC25A22,EIEE3+AHw-GC+AC0-1+AHw-GC1+AHw-NET44+AHw-GC1+AHw-FLJ13044+AHw-NET44+AHw-EIEE3+AHw-GC1,solute carrier family 25 member 22,
SLC25A23,APC2+AHw-MCSC2+AHw-SCaMC+AC0-3+AHw-FLJ30339+AHw-MGC2615+AHw-APC2+AHw-APC2+AHw-MCSC2+AHw-SCAMC3,solute carrier family 25 member 23,
SLC25A24,APC1+AHw-SCAMC+AC0-1+AHw-SCAMC1+AHw-DKFZp586G0123+AHw-APC1+AHw-APC1+AHw-MCSC1+AHw-SCAMC1,solute carrier family 25 member 24,
SLC25A24P1,,,
SLC25A24P2,,,
SLC25A25,MCSC+AHw-PCSCL+AHw-SCAMC+AC0-2+AHw-KIAA1896+AHw-PCSCL+AHw-MCSC+AHw-APC3+AHw-KIAA1896+AHw-MCSC3+AHw-SCAMC2,solute carrier family 25 member 25,
SLC25A25+AC0-AS1,,,
SLC25A26,COXPD28+AHw-SAMC+AHw-SAMC,solute carrier family 25 member 26,
SLC25A27,UCP4+AHw-UCP4+AHw-FLJ33552+AHw-UCP4,solute carrier family 25 member 27,
SLC25A28,MFRN2+AHw-MRS3/4+AHw-MRS4L+AHw-NPD016+AHw-MRS3/4+AHw-MRS4L+AHw-MFRN2,solute carrier family 25 member 28,
SLC25A29,C14orf69+AHw-CACL+AHw-ORNT3+AHw-FLJ38975+AHw-C14orf69+AHw-C14orf69+AHw-ORNT3,solute carrier family 25 member 29,
SLC25A3,OK/SW+AC0-cl.48+AHw-PHC+AHw-PTP+AHw-PHC+AHw-PHC,solute carrier family 25 member 3,
SLC25A30,KMCP1+AHw-KMCP1,solute carrier family 25 member 30,
SLC25A30+AC0-AS1,,,
SLC25A31,AAC4+AHw-ANT 4+AHw-ANT4+AHw-SFEC35kDa+AHw-DKFZP434N1235+AHw-ANT4+AHw-AAC4+AHw-ANT4+AHw-SFEC,solute carrier family 25 member 31,
SLC25A32,MFT+AHw-MFTC+AHw-RREI+AHw-MFTC+AHw-MFT+AHw-MFTC,solute carrier family 25 member 32,
SLC25A33,BMSC+AC0-MCP+AHw-PNC1+AHw-MGC4399+AHw-BMSC+AC0-MCP+AHw-PNC1,solute carrier family 25 member 33,
SLC25A34,DKFZp781A10161,,
SLC25A34+AC0-AS1,,,
SLC25A35,FLJ40217,,
SLC25A36,PNC2+AHw-FLJ10618+AHw-PNC2,solute carrier family 25 member 36,
SLC25A36P1,,,
SLC25A37,HT015+AHw-MFRN+AHw-MFRN1+AHw-MSC+AHw-MSCP+AHw-PRO1278+AHw-PRO1584+AHw-PRO2217+AHw-MSCP+AHw-MFRN+AHw-MFRN1+AHw-HT015+AHw-MFRN+AHw-MSCP,solute carrier family 25 member 37,
SLC25A38,SIDBA2+AHw-FLJ20551,solute carrier family 25 member 38,
SLC25A38P1,,,
SLC25A39,CGI+AC0-69+AHw-CGI69+AHw-FLJ22407+AHw-CGI+AC0-69,solute carrier family 25 member 39,
SLC25A39P1,,,
SLC25A39P2,,,
SLC25A3P1,,,
SLC25A3P2,,,
SLC25A3P3,,,
SLC25A4,AAC1+AHw-ANT+AHw-ANT 1+AHw-ANT1+AHw-MTDPS12+AHw-MTDPS12A+AHw-PEO2+AHw-PEO3+AHw-PEOA2+AHw-T1+AHw-T1+AHw-PEO3+AHw-PEO2+AHw-ANT1+AHw-ANT1,solute carrier family 25 member 4,
SLC25A40,MCFP+AHw-MCFP+AHw-MCFP,solute carrier family 25 member 40,
SLC25A41,APC4+AHw-FLJ40442+AHw-MGC34725+AHw-APC4,solute carrier family 25 member 41,
SLC25A42,MGC26694,,
SLC25A43,,,
SLC25A44,FLJ90431+AHw-KIAA0446+AHw-KIAA0446,,
SLC25A45,,,
